location_id,folder_name,address,image_count,year_range,years
loc_001,1208_REDBUD_ST_CHARLOTTE_NC,1208 Redbud St Charlotte NC,6,2008-2022,2008;2009;2011;2015;2019;2022
loc_002,1307_HATERAS_AVE_CHARLOTTE_NC,1307 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_003,1313_HATERAS_AVE_CHARLOTTE_NC,1313 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_004,1315_BEATTIES_FORD_RD_CHARLOTTE_NC,1315 Beatties Ford Rd Charlotte NC,13,2007-2024,2007;2008;2009;2011;2014;2015;2016;2017;2018;2019;2021;2022;2024
loc_005,1315_HATERAS_AVE_CHARLOTTE_NC,1315 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_006,1320_LASALLE_ST_CHARLOTTE_NC,1320 LaSalle St Charlotte NC,12,2008-2022,2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022
loc_007,1321_HATERAS_AVE_CHARLOTTE_NC,1321 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_008,1327_BEATTIES_FORD_RD_CHARLOTTE_NC,1327 Beatties Ford Rd Charlotte NC,13,2007-2024,2007;2008;2009;2011;2014;2015;2016;2017;2018;2019;2021;2022;2024
loc_009,1341_LASALLE_ST_CHARLOTTE_NC,1341 LaSalle St Charlotte NC,12,2008-2022,2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022
loc_010,1400_LASALLE_ST_CHARLOTTE_NC,1400 LaSalle St Charlotte NC,12,2008-2022,2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022
loc_011,1W_CENTURY_LOS_ANGELES_CA,1 W Century Dr Los Angeles CA,3,2018-2021,2018;2019;2021
loc_012,4119_NICOLE_EILEEN_LN_CHARLOTTE_NC,4119 Nicole Eileen Ln Charlotte NC,3,2007-2019,2007;2013;2019
loc_013,8140_MT_HOLLY_RD_CHARLOTTE_NC,8140 Mt Holly Rd Charlotte NC,3,2021-2023,2021;2022;2023
loc_014,1701_MLK_JBLVD_CHAPEL_HILL_NC,1701 MLK Jr Blvd Chapel Hill NC,3,2018-2020,2018;2019;2020
loc_015,201_S_ELLIOT_RD_CHAPEL_HILL_NC,201 S Elliott Rd Chapel Hill NC,5,2017-2024,2017;2018;2019;2021;2024
loc_016,300_S_ELLIOT_CHAPEL_HILL_NC,300 S Elliott Rd Unit 1 Chapel Hill NC,2,2015-2024,2015;2024